Target_Bin_id,Num_of_seqs
Loc090402-7m_megahit_metabat_bin-1032,48
Loc090116-7m_megahit_metabat_bin-0109,42
Loc090519-7m_megahit_metabat_bin-0390,28
Loclat_megahit_metabat_bin-00664,104
Loc080925-6m_megahit_metabat_bin-0005,8633
Loc090907-8m_megahit_metabat_bin-659,56
Loclat_megahit_metabat_bin-02645,36
Loc081215-4m_megahit_metabat_bin-2118,28
Loc090519-6m_megahit_metabat_bin-1330,25
Loc090519-8m_megahit_metabat_bin-0368,40
Loclat_megahit_metabat_bin-14221,36
Loc090116-7m_megahit_metabat_bin-0430,17
Loc090402-8m_megahit_metabat_bin-1680,53
Loc081215-5m_megahit_metabat_bin-0416,34
Loclat_megahit_metabat_bin-03870,34
Loc090721-7m_megahit_metabat_bin-240,9
Loclat_megahit_metabat_bin-10906,512
Loc080925-8-8m_megahit_metabat_bin-634,40
Loc090116-9m_megahit_metabat_bin-0513,27
Loclat_megahit_metabat_bin-12480,47
Loc090519-8-7m_megahit_metabat_bin-1602,24
Loc090907-8-6m_megahit_metabat_bin-726,58
Loc081215-4m_megahit_metabat_bin-1544,913
Loc090116-7m_megahit_metabat_bin-1179,15
Loc090116-4m_megahit_metabat_bin-1449,28
Loc081215-1m_megahit_metabat_bin-0472,12
Loc090519-8m_megahit_metabat_bin-0107,2297
Loc081215-1m_megahit_metabat_bin-1960,59
Loc090116-7m_megahit_metabat_bin-1040,7
Loc080925-4m_megahit_metabat_bin-0559,72
Loc090721-7m_megahit_metabat_bin-299,12
Loc090519-8-7m_megahit_metabat_bin-1927,52
Loc090116-1m_megahit_metabat_bin-0651,20
Loclat_megahit_metabat_bin-03955,33
Loclat_megahit_metabat_bin-14781,71
Loc090402-4m_megahit_metabat_bin-0893,14
Loc081215-5m_megahit_metabat_bin-2079,15
Loc090907-4m_megahit_metabat_bin-346,32
Loc090907-5m_megahit_metabat_bin-615,295
Loclat_megahit_metabat_bin-17931,12
Loc090402-8m_megahit_metabat_bin-0108,210
