fOTU_name,length,nb_contigs,nb_proteins,total_avg_depth,GC,viral_content,percentage_of_viral_contigs,percentage_of_viral_nucleotides,average_bin_p_value,average_hit_p_value,fOTU_composition,plasmid_nucleotide_percentage,chromosome_nucleotide_percentage,unclassified_nucleotide_percentage,plasmid_contig_percentage,chromosome_contig_percentage,unclassified_contig_percentage
cogOTU_0,262372,15,444,302.2066873606863,0.42598676688061216,Very_high,0.8,0.9709343984876436,0.035792423206436344,0.023607405610801203,plasmid,0.6037763175948653,0.0,0.3962236824051347,0.7333333333333333,0.0,0.2666666666666667
cogOTU_1,4714567,1223,6899,62.933940763704435,0.4811765322244864,Low,0.18070318887980374,0.14730536229520125,0.2379371374935541,0.02618852490155643,bacterial_chromosome,0.0672138077579553,0.667297760324543,0.2654884319175017,0.09566639411283727,0.5576451349141456,0.34668847097301714
cogOTU_10,72830,16,116,16.76961880038171,0.4942743374982839,High,0.375,0.5114925168199917,0.1030950858197562,0.02899719147952885,plasmid,0.7395029520801867,0.0,0.2604970479198133,0.625,0.0,0.375
cogOTU_100,1014666,118,1683,19.8240467111893,0.5804905259464691,Very_high,0.9745762711864406,0.9896675359182232,0.011234540283040578,0.008454215012823403,mixed,0.4808725235693322,0.026718151588798682,0.4924093248418692,0.2711864406779661,0.06779661016949153,0.6610169491525424
cogOTU_1000,49906,3,83,1.5716627843024886,0.3986294233158336,Very_high,1.0,1.0,0.006750747837335273,0.006750747837335273,plasmid,0.6670941369775177,0.0,0.33290586302248226,0.6666666666666666,0.0,0.33333333333333337
cogOTU_1001,154033,11,225,49.71903710056935,0.639174722299767,Low,0.0,0.0,0.2331382596998492,0.0,mixed,0.08003479773814702,0.43369278011854606,0.486272422143307,0.18181818181818185,0.2727272727272727,0.5454545454545454
cogOTU_1002,64289,5,79,16.97643554765201,0.539501314377265,Very_high,1.0,1.0,0.0266553480475382,0.0266553480475382,unclassified,0.0,0.44287514193718985,0.5571248580628101,0.0,0.4,0.6
cogOTU_1003,141535,45,218,47.99898394120887,0.4115377821740207,Medium,0.37777777777777777,0.4068463630904017,0.10736048817718837,0.022475656965546854,unclassified,0.39063129261313456,0.04120535556576112,0.5681633518211043,0.37777777777777777,0.04444444444444445,0.5777777777777777
cogOTU_1004,572142,75,795,53.7647874532901,0.6974719562626063,Medium,0.36,0.33951886070241305,0.1402410517374152,0.026667577172972887,plasmid,0.7822236437807397,0.02749492258914745,0.19028143363011285,0.6533333333333333,0.06666666666666668,0.28
cogOTU_1005,179143,35,372,45.20620020084904,0.6698391787566356,Medium,0.3142857142857143,0.2933634024215292,0.11753637654879452,0.028279620128136708,unclassified,0.049390710214744636,0.21395756462714144,0.736651725158114,0.08571428571428573,0.2571428571428571,0.6571428571428571
cogOTU_1006,44847,3,84,2.077609149419136,0.446941824425268,Very_high,1.0,1.0,0.022879780095399763,0.022879780095399763,plasmid,0.6418935491783174,0.0,0.3581064508216826,0.6666666666666666,0.0,0.33333333333333337
cogOTU_1007,50206,5,45,2.6753504874915346,0.2857029040353745,Low,0.0,0.0,0.35345105557036965,0.0,unclassified,0.038282277018683024,0.08935187029438711,0.8723658526869299,0.2,0.2,0.6
cogOTU_1008,132724,23,188,0.5615414032156958,0.4637970525300626,Low,0.043478260869565216,0.012853741599107923,0.14833463939505015,0.0143102005022522,bacterial_chromosome,0.0572089448780929,0.5115954913956783,0.4311955637262288,0.17391304347826084,0.43478260869565216,0.3913043478260869
cogOTU_1009,33384,2,27,27.21644674424875,0.4209202012940328,Low,0.0,0.0,0.4475503274314821,0.0,bacterial_chromosome,0.0,1.0,0.0,0.0,1.0,0.0
cogOTU_101,54049,2,76,0.05618649396843605,0.5231364132546394,Very_high,1.0,1.0,0.0132791656560757,0.0132791656560757,unclassified,0.0,0.0,1.0,0.0,0.0,1.0
cogOTU_1010,471616,61,704,44.24460488865222,0.6548675193377663,Low,0.16393442622950818,0.12195302958338987,0.2427238355431905,0.0246041428025475,plasmid,0.8620593872981409,0.05653116094449723,0.08140945175736193,0.6229508196721312,0.16393442622950818,0.21311475409836067
cogOTU_1011,287894,27,354,5.3511198859344065,0.4206061953357832,Low,0.037037037037037035,0.021629488631232333,0.3231076059049651,0.036745088527771,bacterial_chromosome,0.057125191910911664,0.8249459870646836,0.11792882102440473,0.1111111111111111,0.5925925925925926,0.2962962962962963
cogOTU_1012,40375,6,45,25.96135583324829,0.549374613003096,High,0.5,0.5737461300309598,0.12356087161572228,0.02344571105182311,plasmid,0.8779442724458204,0.03952941176470588,0.08252631578947367,0.6666666666666666,0.16666666666666666,0.16666666666666674
cogOTU_1013,1340407,83,1676,16.61022344620028,0.6463671108849774,Low,0.0,0.0,0.36250427020087694,0.0,bacterial_chromosome,0.006127989483791117,0.9470675697754488,0.04680444074076007,0.03614457831325301,0.7108433734939759,0.2530120481927711
